13:56:47,789 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
13:56:48,107 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 21672 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
13:56:48,108 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
13:56:48,903 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
13:56:49,106 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 1.208 seconds (JVM running for 1.599)
13:56:49,108 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
15:32:32,126 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
15:32:32,428 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 73924 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
15:32:32,429 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
15:32:33,476 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
15:32:34,081 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
16:14:10,812 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
16:14:11,122 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 25312 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
16:14:11,123 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
16:14:12,219 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
16:14:12,848 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
16:16:53,084 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
16:16:53,386 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 68056 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
16:16:53,386 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
16:16:54,435 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
16:16:55,018 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
16:17:36,707 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
16:17:37,009 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 73220 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
16:17:37,010 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
16:17:38,065 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
16:17:38,661 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 1.849 seconds (JVM running for 2.316)
16:17:38,663 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
18:38:06,388 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
